path,label,group,split
Angry/Cat_Angry1026.mp3,Angry,Angry/cat_angry1026,train
Angry/Cat_Angry1027.mp3,Angry,Angry/cat_angry1027,train
Angry/Cat_Angry1028.mp3,Angry,Angry/cat_angry1028,test
Angry/Cat_Angry1029.mp3,Angry,Angry/cat_angry1029,train
Angry/Cat_Angry1030.mp3,Angry,Angry/cat_angry1030,val
Angry/Cat_Angry1031.mp3,Angry,Angry/cat_angry1031,val
Angry/Cat_Angry1032.mp3,Angry,Angry/cat_angry1032,train
Angry/Cat_Angry1033.mp3,Angry,Angry/cat_angry1033,train
Angry/Cat_Angry1034.mp3,Angry,Angry/cat_angry1034,train
Angry/Cat_Angry1035.mp3,Angry,Angry/cat_angry1035,test
Angry/Cat_Angry1036.mp3,Angry,Angry/cat_angry1036,train
Angry/Cat_Angry1037.mp3,Angry,Angry/cat_angry1037,train
Angry/Cat_Angry1038.mp3,Angry,Angry/cat_angry1038,train
Angry/Cat_Angry1039.mp3,Angry,Angry/cat_angry1039,train
Angry/Cat_Angry1040.mp3,Angry,Angry/cat_angry1040,train
Angry/Cat_Angry1042.mp3,Angry,Angry/cat_angry1042,test
Angry/Cat_Angry1043.mp3,Angry,Angry/cat_angry1043,train
Angry/Cat_Angry1044.mp3,Angry,Angry/cat_angry1044,train
Angry/Cat_Angry1045.mp3,Angry,Angry/cat_angry1045,train
Angry/Cat_Angry1046.mp3,Angry,Angry/cat_angry1046,train
Angry/Cat_Angry1047.mp3,Angry,Angry/cat_angry1047,train
Angry/Cat_Angry1048.mp3,Angry,Angry/cat_angry1048,train
Angry/Cat_angry1015.mp3,Angry,Angry/cat_angry1015,val
Angry/Cat_angry1016.mp3,Angry,Angry/cat_angry1016,train
Angry/Cat_angry1017.mp3,Angry,Angry/cat_angry1017,train
Angry/Cat_angry1018.mp3,Angry,Angry/cat_angry1018,val
Angry/Cat_angry1019.mp3,Angry,Angry/cat_angry1019,train
Angry/Cat_angry1020.mp3,Angry,Angry/cat_angry1020,train
Angry/Cat_angry1021.mp3,Angry,Angry/cat_angry1021,train
Angry/Cat_angry1022.mp3,Angry,Angry/cat_angry1022,train
Angry/Cat_angry1023.mp3,Angry,Angry/cat_angry1023,test
Angry/Cat_angry1024.mp3,Angry,Angry/cat_angry1024,train
Angry/Edit9001Ang (2).mp3,Angry,Angry/edit9001ang,train
Angry/Edit9004Ang.mp3,Angry,Angry/edit9004ang,train
Angry/Edit9011Ang.mp3,Angry,Angry/edit9011ang,train
Angry/FIGHT_CONFUSION (1).mp3,Angry,Angry/fight_confusion,train
Angry/FIGHT_CONFUSION (2).mp3,Angry,Angry/fight_confusion,train
Angry/FIGHT_CONFUSION (3).mp3,Angry,Angry/fight_confusion,train
Angry/FIGHT_CONFUSION (4).mp3,Angry,Angry/fight_confusion,train
Angry/FIGHT_CONFUSION (5).mp3,Angry,Angry/fight_confusion,train
Angry/FIGHT_CONFUSION (6).mp3,Angry,Angry/fight_confusion,train
Angry/FIGHT_CONFUSION (7).mp3,Angry,Angry/fight_confusion,train
Angry/FIGHT_CONFUSION (8).mp3,Angry,Angry/fight_confusion,train
Angry/FIGHT_CONFUSION (9).mp3,Angry,Angry/fight_confusion,train
Angry/LastEntry_cat1002Ang.mp3,Angry,Angry/lastentry_cat1002ang,train
